src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,iperf3_connections,iperf3_runtime,tag,stdout_path,stderr_path,throughput_sent,throughput_recieved,cpu_utilization,success
azure:westus,PREMIUM,Standard_D32_v5,gcp:europe-west4-a,PREMIUM,n2-standard-32,64,5,azure:westus:PREMIUM_gcp:europe-west4-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/azure:westus:PREMIUM_gcp:europe-west4-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/azure:westus:PREMIUM_gcp:europe-west4-a:PREMIUM.stderr,2831398781.8745947,2676320024.511304,4.335667471571658,True
azure:canadacentral,PREMIUM,Standard_D32_v5,gcp:asia-northeast1-a,PREMIUM,n2-standard-32,64,5,azure:canadacentral:PREMIUM_gcp:asia-northeast1-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/azure:canadacentral:PREMIUM_gcp:asia-northeast1-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/azure:canadacentral:PREMIUM_gcp:asia-northeast1-a:PREMIUM.stderr,6339990185.811987,6266014746.881468,6.239981449738004,True
aws:eu-north-1,PREMIUM,m5.8xlarge,gcp:us-west1-a,PREMIUM,n2-standard-32,64,5,aws:eu-north-1:PREMIUM_gcp:us-west1-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:eu-north-1:PREMIUM_gcp:us-west1-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:eu-north-1:PREMIUM_gcp:us-west1-a:PREMIUM.stderr,3943124849.404096,3743819729.703352,4.532446518199781,True
gcp:asia-south2-a,PREMIUM,n2-standard-32,aws:ap-northeast-3,PREMIUM,m5.8xlarge,64,5,gcp:asia-south2-a:PREMIUM_aws:ap-northeast-3:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-south2-a:PREMIUM_aws:ap-northeast-3:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-south2-a:PREMIUM_aws:ap-northeast-3:PREMIUM.stderr,3630628000.0,3606097000.0,33.651002,True
aws:eu-west-3,PREMIUM,m5.8xlarge,aws:ap-southeast-1,PREMIUM,m5.8xlarge,64,5,aws:eu-west-3:PREMIUM_aws:ap-southeast-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:eu-west-3:PREMIUM_aws:ap-southeast-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/aws:eu-west-3:PREMIUM_aws:ap-southeast-1:PREMIUM.stderr,3770074424.405426,3473798943.3562417,4.1150526368492955,True
gcp:australia-southeast1-a,PREMIUM,n2-standard-32,aws:ap-south-1,PREMIUM,m5.8xlarge,64,5,gcp:australia-southeast1-a:PREMIUM_aws:ap-south-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:australia-southeast1-a:PREMIUM_aws:ap-south-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:australia-southeast1-a:PREMIUM_aws:ap-south-1:PREMIUM.stderr,3599644000.0,3482355000.0,32.432147,True
azure:westus3,PREMIUM,Standard_D32_v5,gcp:asia-southeast2-a,PREMIUM,n2-standard-32,64,5,azure:westus3:PREMIUM_gcp:asia-southeast2-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/azure:westus3:PREMIUM_gcp:asia-southeast2-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/azure:westus3:PREMIUM_gcp:asia-southeast2-a:PREMIUM.stderr,3943919173.9800596,3835269240.2690916,5.021858939613937,True
gcp:europe-north1-a,PREMIUM,n2-standard-32,aws:us-west-2,PREMIUM,m5.8xlarge,64,5,gcp:europe-north1-a:PREMIUM_aws:us-west-2:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:europe-north1-a:PREMIUM_aws:us-west-2:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:europe-north1-a:PREMIUM_aws:us-west-2:PREMIUM.stderr,960582417.886599,940630443.408971,28.952789,True
gcp:us-central1-a,PREMIUM,n2-standard-32,aws:me-south-1,PREMIUM,m5.8xlarge,64,5,gcp:us-central1-a:PREMIUM_aws:me-south-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:us-central1-a:PREMIUM_aws:me-south-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:us-central1-a:PREMIUM_aws:me-south-1:PREMIUM.stderr,2436996000.0,2376289000.0,27.572992,True
gcp:asia-southeast1-a,PREMIUM,n2-standard-32,gcp:europe-west1-b,PREMIUM,n2-standard-32,64,5,gcp:asia-southeast1-a:PREMIUM_gcp:europe-west1-b:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-southeast1-a:PREMIUM_gcp:europe-west1-b:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.24_21.42_theresa-stealth-trochee-overstimulate_5s_64c/raw_iperf3_logs/gcp:asia-southeast1-a:PREMIUM_gcp:europe-west1-b:PREMIUM.stderr,4225311000.0,4137742000.0,20.053509,True
