src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,iperf3_connections,iperf3_runtime,tag,stdout_path,stderr_path,throughput_sent,throughput_recieved,cpu_utilization,success
azure:swedencentral,PREMIUM,Standard_D32_v4,azure:uksouth,PREMIUM,Standard_D32_v4,64,5,azure:swedencentral:PREMIUM_azure:uksouth:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:swedencentral:PREMIUM_azure:uksouth:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:swedencentral:PREMIUM_azure:uksouth:PREMIUM.stderr,14861741583.801989,14519963868.881773,19.698877875811725,True
azure:canadacentral,PREMIUM,Standard_D32_v4,aws:us-west-1,PREMIUM,m5.8xlarge,64,5,azure:canadacentral:PREMIUM_aws:us-west-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:canadacentral:PREMIUM_aws:us-west-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:canadacentral:PREMIUM_aws:us-west-1:PREMIUM.stderr,4839344178.888665,4511076871.090957,7.908575506448775,True
aws:eu-south-1,PREMIUM,m5.8xlarge,gcp:northamerica-northeast2-a,PREMIUM,n2-standard-32,64,5,aws:eu-south-1:PREMIUM_gcp:northamerica-northeast2-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:eu-south-1:PREMIUM_gcp:northamerica-northeast2-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:eu-south-1:PREMIUM_gcp:northamerica-northeast2-a:PREMIUM.stderr,4344937265.806745,4101223887.9520273,4.856425901957384,True
aws:ap-southeast-3,PREMIUM,m5.8xlarge,gcp:australia-southeast1-a,PREMIUM,n2-standard-32,64,5,aws:ap-southeast-3:PREMIUM_gcp:australia-southeast1-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:ap-southeast-3:PREMIUM_gcp:australia-southeast1-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/aws:ap-southeast-3:PREMIUM_gcp:australia-southeast1-a:PREMIUM.stderr,4332373825.181485,4101902382.6161456,4.809939378436726,True
gcp:southamerica-east1-a,PREMIUM,n2-standard-32,aws:us-east-2,PREMIUM,m5.8xlarge,64,5,gcp:southamerica-east1-a:PREMIUM_aws:us-east-2:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:southamerica-east1-a:PREMIUM_aws:us-east-2:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:southamerica-east1-a:PREMIUM_aws:us-east-2:PREMIUM.stderr,5447483000.0,5203139000.0,29.841284,True
azure:northcentralus,PREMIUM,Standard_D32_v4,aws:sa-east-1,PREMIUM,m5.8xlarge,64,5,azure:northcentralus:PREMIUM_aws:sa-east-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:northcentralus:PREMIUM_aws:sa-east-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:northcentralus:PREMIUM_aws:sa-east-1:PREMIUM.stderr,1442827574.8417249,1250052997.9447806,3.778903541532536,True
azure:centralindia,PREMIUM,Standard_D32_v4,aws:eu-north-1,PREMIUM,m5.8xlarge,64,5,azure:centralindia:PREMIUM_aws:eu-north-1:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:centralindia:PREMIUM_aws:eu-north-1:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:centralindia:PREMIUM_aws:eu-north-1:PREMIUM.stderr,2737781016.081924,2436455025.375117,4.913143050217274,True
gcp:europe-west6-a,PREMIUM,n2-standard-32,gcp:asia-southeast1-a,PREMIUM,n2-standard-32,64,5,gcp:europe-west6-a:PREMIUM_gcp:asia-southeast1-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:europe-west6-a:PREMIUM_gcp:asia-southeast1-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/gcp:europe-west6-a:PREMIUM_gcp:asia-southeast1-a:PREMIUM.stderr,4516666000.0,4483084000.0,25.390302,True
azure:norwayeast,PREMIUM,Standard_D32_v4,aws:us-west-2,PREMIUM,m5.8xlarge,64,5,azure:norwayeast:PREMIUM_aws:us-west-2:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:norwayeast:PREMIUM_aws:us-west-2:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:norwayeast:PREMIUM_aws:us-west-2:PREMIUM.stderr,3051252630.0884843,2768185500.230023,4.683416051765525,True
azure:westeurope,PREMIUM,Standard_D32_v4,gcp:southamerica-west1-a,PREMIUM,n2-standard-32,64,5,azure:westeurope:PREMIUM_gcp:southamerica-west1-a:PREMIUM,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:westeurope:PREMIUM_gcp:southamerica-west1-a:PREMIUM.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.01.17_09.23_adviser-vendetta-aaa-paxil_5s_64c/raw_iperf3_logs/azure:westeurope:PREMIUM_gcp:southamerica-west1-a:PREMIUM.stderr,4300056228.03686,4218559152.855551,5.6206893727452005,True
