src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,min_rtt,avg_rtt,max_rtt,mdev_rtt
gcp:europe-north1-a,PREMIUM,n2-standard-4,gcp:europe-west3-a,PREMIUM,n2-standard-4,,,,
azure:uaenorth,PREMIUM,Standard_D2_v3,aws:eu-south-1,PREMIUM,m5.large,106.253,106.324,106.413,0.388
gcp:us-west1-a,PREMIUM,n2-standard-4,gcp:asia-northeast3-a,STANDARD,n2-standard-4,,,,
aws:ap-northeast-1,PREMIUM,m5.large,gcp:us-central1-a,PREMIUM,n2-standard-4,129.508,129.683,129.921,0.199
gcp:asia-southeast2-a,PREMIUM,n2-standard-4,gcp:southamerica-east1-a,STANDARD,n2-standard-4,,,,
gcp:australia-southeast1-a,PREMIUM,n2-standard-4,gcp:asia-northeast1-a,STANDARD,n2-standard-4,,,,
aws:ap-northeast-3,PREMIUM,m5.large,aws:ap-east-1,PREMIUM,m5.large,47.612,47.623,47.645,0.276
aws:ap-east-1,PREMIUM,m5.large,gcp:asia-southeast2-a,STANDARD,n2-standard-4,55.562,66.525,76.07,7.673
azure:uaenorth,PREMIUM,Standard_D2_v3,aws:eu-west-1,PREMIUM,m5.large,126.624,126.739,126.845,0.394
aws:us-west-1,PREMIUM,m5.large,gcp:australia-southeast1-a,PREMIUM,n2-standard-4,147.731,147.803,147.887,0.347
azure:germanywestcentral,PREMIUM,Standard_D2_v3,aws:eu-west-1,PREMIUM,m5.large,24.901,25.075,25.319,0.121
azure:brazilsouth,PREMIUM,Standard_D2_v3,gcp:us-west1-a,PREMIUM,n2-standard-4,179.685,180.108,182.524,0.953
azure:francecentral,PREMIUM,Standard_D2_v3,gcp:australia-southeast1-a,PREMIUM,n2-standard-4,251.306,251.361,251.533,0.675
aws:ap-southeast-1,PREMIUM,m5.large,gcp:australia-southeast1-a,PREMIUM,n2-standard-4,94.486,94.593,94.67,0.28
aws:ap-northeast-3,PREMIUM,m5.large,gcp:us-east4-a,STANDARD,n2-standard-4,175.549,175.684,175.771,0.498
gcp:us-west1-a,PREMIUM,n2-standard-4,gcp:europe-west4-a,STANDARD,n2-standard-4,,,,
gcp:asia-east2-a,PREMIUM,n2-standard-4,gcp:us-east1-b,PREMIUM,n2-standard-4,,,,
gcp:asia-east2-a,PREMIUM,n2-standard-4,gcp:australia-southeast2-a,PREMIUM,n2-standard-4,,,,
azure:swedencentral,PREMIUM,Standard_D2_v3,gcp:asia-south2-a,PREMIUM,n2-standard-4,182.213,182.335,182.508,0.578
azure:westus,PREMIUM,Standard_D2_v3,gcp:europe-north1-a,STANDARD,n2-standard-4,181.21,181.416,182.271,0.295
gcp:asia-northeast3-a,PREMIUM,n2-standard-4,gcp:northamerica-northeast2-a,PREMIUM,n2-standard-4,,,,
azure:southafricanorth,PREMIUM,Standard_D2_v3,gcp:asia-east1-a,STANDARD,n2-standard-4,340.484,340.668,340.891,0.6
azure:northeurope,PREMIUM,Standard_D2_v3,aws:ap-southeast-3,PREMIUM,m5.large,174.241,174.297,174.376,0.495
azure:koreacentral,PREMIUM,Standard_D2_v3,gcp:us-west1-a,STANDARD,n2-standard-4,139.271,139.36,139.616,0.253
gcp:europe-west3-a,PREMIUM,n2-standard-4,gcp:northamerica-northeast1-a,STANDARD,n2-standard-4,,,,
gcp:europe-central2-a,PREMIUM,n2-standard-4,gcp:southamerica-east1-a,STANDARD,n2-standard-4,,,,
azure:uaenorth,PREMIUM,Standard_D2_v3,gcp:asia-southeast2-a,STANDARD,n2-standard-4,91.142,91.242,91.334,0.201
azure:germanywestcentral,PREMIUM,Standard_D2_v3,gcp:asia-northeast3-a,STANDARD,n2-standard-4,225.04,225.305,225.774,0.564
gcp:northamerica-northeast1-a,PREMIUM,n2-standard-4,gcp:europe-west4-a,STANDARD,n2-standard-4,,,,
aws:ap-northeast-2,PREMIUM,m5.large,gcp:europe-central2-a,PREMIUM,n2-standard-4,272.3,272.354,272.499,0.574
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:us-west1-a,STANDARD,n2-standard-4,225.126,225.53,228.005,0.856
gcp:asia-northeast1-a,STANDARD,n2-standard-4,gcp:australia-southeast1-a,STANDARD,n2-standard-4,,,,
azure:swedencentral,PREMIUM,Standard_D2_v3,aws:us-west-2,PREMIUM,m5.large,186.611,186.733,186.908,0.442
gcp:europe-west3-a,PREMIUM,n2-standard-4,gcp:southamerica-west1-a,PREMIUM,n2-standard-4,,,,
gcp:us-west4-a,PREMIUM,n2-standard-4,gcp:europe-west2-a,STANDARD,n2-standard-4,,,,
azure:canadacentral,PREMIUM,Standard_D2_v3,gcp:us-central1-a,STANDARD,n2-standard-4,25.378,25.551,25.838,0.189
azure:eastasia,PREMIUM,Standard_D2_v3,gcp:southamerica-east1-a,STANDARD,n2-standard-4,313.556,313.733,313.893,0.569
aws:eu-north-1,PREMIUM,m5.large,aws:ap-southeast-1,PREMIUM,m5.large,174.674,174.716,174.819,0.267
aws:ap-northeast-1,PREMIUM,m5.large,gcp:australia-southeast1-a,PREMIUM,n2-standard-4,142.347,142.434,142.571,0.417
aws:me-south-1,PREMIUM,m5.large,gcp:europe-central2-a,PREMIUM,n2-standard-4,118.352,118.451,118.553,0.349
gcp:europe-north1-a,STANDARD,n2-standard-4,gcp:europe-west4-a,STANDARD,n2-standard-4,,,,
aws:ap-southeast-2,PREMIUM,m5.large,gcp:europe-west4-a,PREMIUM,n2-standard-4,280.005,280.049,280.09,0.67
aws:eu-north-1,PREMIUM,m5.large,gcp:asia-east2-a,PREMIUM,n2-standard-4,258.142,258.291,258.501,0.108
gcp:asia-southeast1-a,PREMIUM,n2-standard-4,gcp:asia-southeast2-a,STANDARD,n2-standard-4,,,,
gcp:europe-west2-a,PREMIUM,n2-standard-4,gcp:asia-southeast2-a,STANDARD,n2-standard-4,,,,
gcp:asia-northeast1-a,PREMIUM,n2-standard-4,gcp:us-central1-a,STANDARD,n2-standard-4,,,,
aws:sa-east-1,PREMIUM,m5.large,gcp:southamerica-east1-a,PREMIUM,n2-standard-4,3.219,3.331,3.438,0.097
gcp:europe-north1-a,PREMIUM,n2-standard-4,gcp:northamerica-northeast1-a,STANDARD,n2-standard-4,,,,
aws:sa-east-1,PREMIUM,m5.large,gcp:asia-east1-a,STANDARD,n2-standard-4,309.449,309.526,309.592,0.433
azure:francecentral,PREMIUM,Standard_D2_v3,gcp:europe-west4-a,STANDARD,n2-standard-4,16.515,16.671,16.935,0.178
aws:ap-south-1,PREMIUM,m5.large,gcp:asia-northeast3-a,PREMIUM,n2-standard-4,133.638,133.713,133.805,0.059
azure:northcentralus,PREMIUM,Standard_D2_v3,gcp:us-west1-a,PREMIUM,n2-standard-4,52.049,52.158,52.237,0.188
aws:us-west-1,PREMIUM,m5.large,gcp:northamerica-northeast2-a,PREMIUM,n2-standard-4,69.739,69.819,69.893,0.243
azure:francecentral,PREMIUM,Standard_D2_v3,gcp:us-east1-b,PREMIUM,n2-standard-4,93.233,93.536,93.897,0.185
gcp:australia-southeast1-a,STANDARD,n2-standard-4,gcp:europe-west2-a,STANDARD,n2-standard-4,,,,
aws:us-east-2,PREMIUM,m5.large,gcp:asia-southeast2-a,PREMIUM,n2-standard-4,227.324,227.438,227.552,0.606
gcp:asia-south2-a,PREMIUM,n2-standard-4,gcp:europe-west2-a,STANDARD,n2-standard-4,,,,
aws:eu-central-1,PREMIUM,m5.large,aws:us-east-1,PREMIUM,m5.large,90.08,90.108,90.192,0.404
azure:japaneast,PREMIUM,Standard_D2_v3,aws:eu-west-1,PREMIUM,m5.large,251.099,251.253,251.47,0.406
azure:uksouth,PREMIUM,Standard_D2_v3,gcp:us-east4-a,PREMIUM,n2-standard-4,77.061,77.175,77.351,0.089
gcp:asia-northeast3-a,STANDARD,n2-standard-4,gcp:europe-north1-a,STANDARD,n2-standard-4,,,,
azure:uaenorth,PREMIUM,Standard_D2_v3,gcp:southamerica-east1-a,STANDARD,n2-standard-4,292.091,292.27,292.492,0.362
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:europe-north1-a,STANDARD,n2-standard-4,148.538,148.697,148.81,0.463
gcp:southamerica-west1-a,PREMIUM,n2-standard-4,gcp:us-west4-a,STANDARD,n2-standard-4,,,,
aws:eu-north-1,PREMIUM,m5.large,gcp:asia-southeast1-a,PREMIUM,n2-standard-4,226.036,226.126,226.291,0.312
azure:southafricanorth,PREMIUM,Standard_D2_v3,gcp:asia-southeast1-a,PREMIUM,n2-standard-4,319.023,319.598,323.242,1.411
gcp:asia-south1-a,STANDARD,n2-standard-4,gcp:europe-west2-a,STANDARD,n2-standard-4,,,,
azure:westus,PREMIUM,Standard_D2_v3,gcp:us-east1-b,STANDARD,n2-standard-4,78.924,79.103,79.201,0.294
gcp:asia-southeast2-a,PREMIUM,n2-standard-4,gcp:southamerica-west1-a,PREMIUM,n2-standard-4,,,,
gcp:asia-northeast3-a,STANDARD,n2-standard-4,gcp:europe-west4-a,STANDARD,n2-standard-4,,,,
aws:ca-central-1,PREMIUM,m5.large,gcp:europe-west6-a,STANDARD,n2-standard-4,108.791,108.875,108.932,0.444
aws:ap-northeast-2,PREMIUM,m5.large,gcp:europe-west4-a,PREMIUM,n2-standard-4,257.089,257.189,257.276,0.457
azure:koreacentral,PREMIUM,Standard_D2_v3,aws:us-east-1,PREMIUM,m5.large,184.27,184.744,188.003,1.17
azure:koreacentral,PREMIUM,Standard_D2_v3,gcp:asia-northeast3-a,STANDARD,n2-standard-4,2.592,2.764,3.244,0.182
aws:sa-east-1,PREMIUM,m5.large,gcp:northamerica-northeast1-a,PREMIUM,n2-standard-4,126.833,127.052,127.791,0.412
aws:ap-northeast-2,PREMIUM,m5.large,gcp:asia-south2-a,PREMIUM,n2-standard-4,167.696,167.755,167.813,0.186
aws:ap-east-1,PREMIUM,m5.large,gcp:us-east1-b,STANDARD,n2-standard-4,240.528,240.755,241.429,0.564
gcp:australia-southeast2-a,PREMIUM,n2-standard-4,gcp:us-central1-a,PREMIUM,n2-standard-4,,,,
azure:centralindia,PREMIUM,Standard_D2_v3,aws:ap-northeast-3,PREMIUM,m5.large,118.194,119.124,126.732,2.564
aws:ap-southeast-3,PREMIUM,m5.large,gcp:asia-south1-a,STANDARD,n2-standard-4,77.626,77.649,77.697,0.216
gcp:asia-east2-a,STANDARD,n2-standard-4,gcp:us-west4-a,STANDARD,n2-standard-4,,,,
gcp:southamerica-east1-a,PREMIUM,n2-standard-4,gcp:asia-east1-a,STANDARD,n2-standard-4,,,,
azure:eastus,PREMIUM,Standard_D2_v3,gcp:europe-west2-a,STANDARD,n2-standard-4,76.788,77.111,78.559,0.577
gcp:us-central1-a,STANDARD,n2-standard-4,gcp:us-west4-a,STANDARD,n2-standard-4,,,,
azure:eastus,PREMIUM,Standard_D2_v3,aws:us-east-1,PREMIUM,m5.large,1.927,2.065,2.405,0.148
aws:af-south-1,PREMIUM,m5.large,gcp:europe-west3-a,PREMIUM,n2-standard-4,173.559,173.744,174.805,0.578
gcp:us-east4-a,PREMIUM,n2-standard-4,gcp:asia-east1-a,STANDARD,n2-standard-4,,,,
aws:us-west-2,PREMIUM,m5.large,aws:eu-north-1,PREMIUM,m5.large,167.576,167.602,167.667,0.485
azure:australiaeast,PREMIUM,Standard_D2_v3,gcp:asia-northeast3-a,PREMIUM,n2-standard-4,171.73,171.922,172.147,0.219
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:asia-south1-a,PREMIUM,n2-standard-4,3.551,3.761,3.904,0.112
gcp:europe-west4-a,PREMIUM,n2-standard-4,gcp:asia-southeast2-a,STANDARD,n2-standard-4,,,,
aws:sa-east-1,PREMIUM,m5.large,gcp:asia-southeast1-a,PREMIUM,n2-standard-4,330.82,330.897,330.967,0.042
gcp:asia-northeast1-a,PREMIUM,n2-standard-4,gcp:northamerica-northeast2-a,PREMIUM,n2-standard-4,,,,
azure:francecentral,PREMIUM,Standard_D2_v3,gcp:asia-east2-a,STANDARD,n2-standard-4,190.996,191.329,192.253,0.556
azure:switzerlandnorth,PREMIUM,Standard_D2_v3,gcp:southamerica-east1-a,PREMIUM,n2-standard-4,200.234,200.584,201.116,0.225
gcp:europe-north1-a,STANDARD,n2-standard-4,gcp:europe-west3-a,STANDARD,n2-standard-4,,,,
gcp:asia-east1-a,PREMIUM,n2-standard-4,gcp:us-central1-a,STANDARD,n2-standard-4,,,,
gcp:southamerica-west1-a,PREMIUM,n2-standard-4,gcp:southamerica-east1-a,PREMIUM,n2-standard-4,,,,
gcp:europe-west6-a,PREMIUM,n2-standard-4,gcp:asia-northeast3-a,STANDARD,n2-standard-4,,,,
azure:westus,PREMIUM,Standard_D2_v3,gcp:us-west4-a,PREMIUM,n2-standard-4,16.858,17.039,17.349,0.212
gcp:asia-east2-a,PREMIUM,n2-standard-4,gcp:asia-south2-a,PREMIUM,n2-standard-4,,,,
azure:uksouth,PREMIUM,Standard_D2_v3,gcp:northamerica-northeast1-a,PREMIUM,n2-standard-4,86.558,86.847,88.27,0.537
aws:eu-south-1,PREMIUM,m5.large,gcp:asia-south2-a,PREMIUM,n2-standard-4,165.504,165.567,165.66,0.261
aws:eu-west-2,PREMIUM,m5.large,gcp:asia-south2-a,PREMIUM,n2-standard-4,165.762,165.881,166.162,0.331
gcp:northamerica-northeast2-a,PREMIUM,n2-standard-4,gcp:asia-southeast1-a,STANDARD,n2-standard-4,,,,
gcp:us-east4-a,PREMIUM,n2-standard-4,gcp:southamerica-east1-a,STANDARD,n2-standard-4,,,,
aws:us-east-2,PREMIUM,m5.large,gcp:us-central1-a,STANDARD,n2-standard-4,20.555,20.624,20.731,0.139
gcp:asia-southeast2-a,STANDARD,n2-standard-4,gcp:us-east4-a,STANDARD,n2-standard-4,,,,
azure:francecentral,PREMIUM,Standard_D2_v3,aws:us-east-2,PREMIUM,m5.large,90.402,90.574,90.7,0.413
aws:eu-south-1,PREMIUM,m5.large,gcp:us-west1-a,STANDARD,n2-standard-4,162.46,162.554,162.69,0.408
azure:germanywestcentral,PREMIUM,Standard_D2_v3,gcp:asia-southeast1-a,STANDARD,n2-standard-4,153.165,153.363,153.706,0.234
azure:koreacentral,PREMIUM,Standard_D2_v3,aws:ap-northeast-3,PREMIUM,m5.large,31.335,31.434,31.509,0.098
azure:switzerlandnorth,PREMIUM,Standard_D2_v3,gcp:us-central1-a,STANDARD,n2-standard-4,122.644,122.695,122.763,0.16
azure:southafricanorth,PREMIUM,Standard_D2_v3,gcp:asia-southeast2-a,PREMIUM,n2-standard-4,326.733,327.25,330.041,1.041
azure:centralindia,PREMIUM,Standard_D2_v3,aws:eu-north-1,PREMIUM,m5.large,157.133,157.255,157.397,0.316
gcp:asia-southeast2-a,PREMIUM,n2-standard-4,gcp:europe-west3-a,PREMIUM,n2-standard-4,,,,
azure:uksouth,PREMIUM,Standard_D2_v3,gcp:asia-northeast3-a,PREMIUM,n2-standard-4,227.065,227.295,227.661,0.477
azure:francecentral,PREMIUM,Standard_D2_v3,aws:eu-west-1,PREMIUM,m5.large,16.75,16.971,17.256,0.173
azure:northcentralus,PREMIUM,Standard_D2_v3,gcp:southamerica-west1-a,PREMIUM,n2-standard-4,160.816,161.002,161.157,0.551
azure:germanywestcentral,PREMIUM,Standard_D2_v3,aws:us-west-1,PREMIUM,m5.large,153.136,153.257,153.415,0.436
aws:ap-northeast-1,PREMIUM,m5.large,gcp:asia-northeast2-a,PREMIUM,n2-standard-4,8.915,9.005,9.081,0.075
gcp:australia-southeast1-a,STANDARD,n2-standard-4,gcp:europe-west6-a,STANDARD,n2-standard-4,,,,
gcp:europe-north1-a,PREMIUM,n2-standard-4,gcp:us-east4-a,STANDARD,n2-standard-4,,,,
azure:eastus,PREMIUM,Standard_D2_v3,gcp:us-west4-a,STANDARD,n2-standard-4,74.222,74.455,75.633,0.469
azure:francecentral,PREMIUM,Standard_D2_v3,gcp:europe-west3-a,STANDARD,n2-standard-4,9.837,9.962,10.167,0.103
aws:eu-west-1,PREMIUM,m5.large,gcp:northamerica-northeast2-a,PREMIUM,n2-standard-4,95.313,95.341,95.379,0.276
gcp:europe-west6-a,PREMIUM,n2-standard-4,gcp:us-central1-a,PREMIUM,n2-standard-4,,,,
azure:uaenorth,PREMIUM,Standard_D2_v3,gcp:asia-south1-a,PREMIUM,n2-standard-4,30.723,30.916,31.06,0.122
aws:us-east-2,PREMIUM,m5.large,gcp:asia-northeast3-a,STANDARD,n2-standard-4,196.129,196.172,196.239,0.344
aws:eu-west-1,PREMIUM,m5.large,gcp:us-west1-a,STANDARD,n2-standard-4,151.899,151.987,152.054,0.182
azure:northcentralus,PREMIUM,Standard_D2_v3,aws:eu-west-1,PREMIUM,m5.large,87.131,87.268,87.747,0.214
aws:eu-north-1,PREMIUM,m5.large,gcp:us-central1-a,STANDARD,n2-standard-4,121.259,121.339,121.433,0.274
aws:eu-south-1,PREMIUM,m5.large,gcp:australia-southeast1-a,PREMIUM,n2-standard-4,285.26,285.368,285.504,0.485
azure:northeurope,PREMIUM,Standard_D2_v3,gcp:europe-west2-a,STANDARD,n2-standard-4,24.987,25.283,25.779,0.343
aws:eu-north-1,PREMIUM,m5.large,aws:ap-south-1,PREMIUM,m5.large,131.608,131.635,131.683,0.363
aws:ca-central-1,PREMIUM,m5.large,aws:ap-southeast-2,PREMIUM,m5.large,195.441,195.46,195.481,0.442
azure:southafricanorth,PREMIUM,Standard_D2_v3,gcp:australia-southeast1-a,STANDARD,n2-standard-4,420.701,420.868,421.05,0.515
aws:ap-northeast-1,PREMIUM,m5.large,gcp:asia-south1-a,STANDARD,n2-standard-4,125.703,125.832,125.936,0.482
gcp:asia-southeast2-a,STANDARD,n2-standard-4,gcp:us-east1-b,STANDARD,n2-standard-4,,,,
azure:germanywestcentral,PREMIUM,Standard_D2_v3,gcp:us-east1-b,PREMIUM,n2-standard-4,97.934,98.073,98.252,0.223
aws:ap-southeast-1,PREMIUM,m5.large,gcp:asia-east1-a,PREMIUM,n2-standard-4,41.759,41.828,41.908,0.138
gcp:asia-northeast1-a,PREMIUM,n2-standard-4,gcp:europe-west4-a,PREMIUM,n2-standard-4,,,,
aws:eu-west-1,PREMIUM,m5.large,gcp:europe-west2-a,STANDARD,n2-standard-4,11.973,12.055,12.136,0.111
azure:japaneast,PREMIUM,Standard_D2_v3,aws:ap-east-1,PREMIUM,m5.large,54.7,54.904,55.106,0.314
azure:canadacentral,PREMIUM,Standard_D2_v3,aws:eu-central-1,PREMIUM,m5.large,101.288,101.393,101.545,0.329
aws:ca-central-1,PREMIUM,m5.large,aws:ap-northeast-1,PREMIUM,m5.large,155.984,156.017,156.077,0.5
aws:ap-southeast-2,PREMIUM,m5.large,gcp:us-east4-a,PREMIUM,n2-standard-4,200.524,200.621,200.732,0.29
aws:eu-central-1,PREMIUM,m5.large,gcp:asia-northeast1-a,PREMIUM,n2-standard-4,230.019,230.268,230.828,0.21
azure:norwayeast,PREMIUM,Standard_D2_v3,gcp:europe-west4-a,STANDARD,n2-standard-4,34.467,34.716,35.006,0.183
aws:eu-north-1,PREMIUM,m5.large,aws:ap-northeast-1,PREMIUM,m5.large,241.577,241.613,241.701,0.54
gcp:europe-west2-a,PREMIUM,n2-standard-4,gcp:us-east4-a,PREMIUM,n2-standard-4,,,,
aws:af-south-1,PREMIUM,m5.large,gcp:asia-east1-a,PREMIUM,n2-standard-4,402.556,402.616,402.724,0.05
azure:westeurope,PREMIUM,Standard_D2_v3,gcp:northamerica-northeast1-a,PREMIUM,n2-standard-4,91.462,91.636,91.781,0.315
aws:af-south-1,PREMIUM,m5.large,gcp:us-west1-a,PREMIUM,n2-standard-4,286.581,286.684,286.812,0.483
aws:ap-east-1,PREMIUM,m5.large,gcp:australia-southeast2-a,PREMIUM,n2-standard-4,120.085,120.166,120.231,0.039
azure:francecentral,PREMIUM,Standard_D2_v3,gcp:northamerica-northeast2-a,PREMIUM,n2-standard-4,99.273,100.532,109.627,3.044
azure:westus3,PREMIUM,Standard_D2_v3,gcp:southamerica-east1-a,STANDARD,n2-standard-4,165.083,165.895,170.186,1.547
azure:westeurope,PREMIUM,Standard_D2_v3,aws:us-east-2,PREMIUM,m5.large,90.941,91.082,91.249,0.345
aws:eu-central-1,PREMIUM,m5.large,gcp:asia-east1-a,PREMIUM,n2-standard-4,257.908,258.007,258.172,0.685
aws:ca-central-1,PREMIUM,m5.large,aws:us-east-1,PREMIUM,m5.large,14.316,14.338,14.358,0.014
gcp:us-central1-a,PREMIUM,n2-standard-4,gcp:us-east4-a,STANDARD,n2-standard-4,,,,
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:us-east1-b,STANDARD,n2-standard-4,205.398,205.604,206.573,0.527
azure:switzerlandnorth,PREMIUM,Standard_D2_v3,gcp:europe-west1-b,PREMIUM,n2-standard-4,20.391,20.957,24.576,1.214
gcp:europe-west6-a,STANDARD,n2-standard-4,gcp:northamerica-northeast1-a,STANDARD,n2-standard-4,,,,
azure:eastasia,PREMIUM,Standard_D2_v3,gcp:europe-west2-a,PREMIUM,n2-standard-4,205.098,205.191,205.365,0.458
gcp:europe-west3-a,PREMIUM,n2-standard-4,gcp:europe-west2-a,STANDARD,n2-standard-4,,,,
aws:us-east-2,PREMIUM,m5.large,aws:eu-north-1,PREMIUM,m5.large,118.718,118.733,118.759,0.267
aws:ap-south-1,PREMIUM,m5.large,gcp:asia-northeast3-a,STANDARD,n2-standard-4,232.147,232.21,232.288,0.307
aws:sa-east-1,PREMIUM,m5.large,gcp:europe-west2-a,STANDARD,n2-standard-4,204.44,204.523,204.6,0.608
azure:westeurope,PREMIUM,Standard_D2_v3,gcp:australia-southeast2-a,PREMIUM,n2-standard-4,269.213,269.328,269.511,0.576
aws:eu-central-1,PREMIUM,m5.large,gcp:europe-north1-a,STANDARD,n2-standard-4,27.781,27.939,28.19,0.183
aws:eu-south-1,PREMIUM,m5.large,gcp:asia-east1-a,STANDARD,n2-standard-4,233.125,233.198,233.294,0.221
azure:uksouth,PREMIUM,Standard_D2_v3,gcp:southamerica-west1-a,PREMIUM,n2-standard-4,217.595,217.74,217.868,0.518
gcp:asia-east1-a,PREMIUM,n2-standard-4,gcp:asia-south2-a,PREMIUM,n2-standard-4,,,,
gcp:asia-northeast3-a,PREMIUM,n2-standard-4,gcp:europe-west3-a,STANDARD,n2-standard-4,,,,
aws:eu-central-1,PREMIUM,m5.large,gcp:europe-west1-b,PREMIUM,n2-standard-4,10.883,11.055,11.288,0.165
gcp:australia-southeast2-a,PREMIUM,n2-standard-4,gcp:asia-northeast3-a,STANDARD,n2-standard-4,,,,
aws:ap-southeast-3,PREMIUM,m5.large,gcp:us-west1-a,STANDARD,n2-standard-4,188.862,188.958,189.093,0.518
aws:ap-northeast-2,PREMIUM,m5.large,gcp:europe-north1-a,PREMIUM,n2-standard-4,279.729,279.834,279.997,0.479
azure:northeurope,PREMIUM,Standard_D2_v3,gcp:asia-east2-a,PREMIUM,n2-standard-4,217.26,217.458,217.856,0.451
gcp:europe-central2-a,PREMIUM,n2-standard-4,gcp:asia-east2-a,STANDARD,n2-standard-4,,,,
gcp:europe-west6-a,PREMIUM,n2-standard-4,gcp:southamerica-east1-a,PREMIUM,n2-standard-4,,,,
gcp:asia-southeast1-a,PREMIUM,n2-standard-4,gcp:us-west1-a,PREMIUM,n2-standard-4,,,,
gcp:northamerica-northeast1-a,PREMIUM,n2-standard-4,gcp:northamerica-northeast1-a,STANDARD,n2-standard-4,,,,
gcp:asia-northeast3-a,PREMIUM,n2-standard-4,gcp:us-central1-a,PREMIUM,n2-standard-4,,,,
azure:germanywestcentral,PREMIUM,Standard_D2_v3,gcp:us-central1-a,PREMIUM,n2-standard-4,113.239,113.347,113.445,0.402
gcp:europe-west3-a,PREMIUM,n2-standard-4,gcp:asia-southeast2-a,STANDARD,n2-standard-4,,,,
gcp:asia-northeast3-a,PREMIUM,n2-standard-4,gcp:southamerica-east1-a,STANDARD,n2-standard-4,,,,
aws:sa-east-1,PREMIUM,m5.large,gcp:us-west4-a,STANDARD,n2-standard-4,171.372,171.948,172.265,0.481
gcp:asia-southeast1-a,STANDARD,n2-standard-4,gcp:southamerica-east1-a,STANDARD,n2-standard-4,,,,
azure:uksouth,PREMIUM,Standard_D2_v3,gcp:asia-south1-a,PREMIUM,n2-standard-4,134.247,134.451,135.064,0.524
azure:japaneast,PREMIUM,Standard_D2_v3,aws:us-east-1,PREMIUM,m5.large,157.21,157.555,158.273,0.567
aws:ap-northeast-3,PREMIUM,m5.large,gcp:us-central1-a,STANDARD,n2-standard-4,163.07,163.2,163.293,0.192
gcp:asia-east1-a,STANDARD,n2-standard-4,gcp:europe-west2-a,STANDARD,n2-standard-4,,,,
azure:northeurope,PREMIUM,Standard_D2_v3,gcp:europe-central2-a,PREMIUM,n2-standard-4,36.895,37.2,37.892,0.364
azure:germanywestcentral,PREMIUM,Standard_D2_v3,gcp:europe-central2-a,PREMIUM,n2-standard-4,16.671,16.777,16.957,0.084
gcp:asia-east2-a,STANDARD,n2-standard-4,gcp:us-central1-a,STANDARD,n2-standard-4,,,,
aws:ca-central-1,PREMIUM,m5.large,aws:ap-east-1,PREMIUM,m5.large,201.853,201.88,201.923,0.348
gcp:asia-east1-a,PREMIUM,n2-standard-4,gcp:europe-west4-a,STANDARD,n2-standard-4,,,,
gcp:europe-north1-a,PREMIUM,n2-standard-4,gcp:us-west1-a,PREMIUM,n2-standard-4,,,,
azure:brazilsouth,PREMIUM,Standard_D2_v3,gcp:asia-south2-a,PREMIUM,n2-standard-4,343.46,343.674,344.643,0.723
aws:eu-west-2,PREMIUM,m5.large,aws:eu-central-1,PREMIUM,m5.large,16.034,16.125,16.305,0.148
aws:eu-south-1,PREMIUM,m5.large,aws:ap-southeast-2,PREMIUM,m5.large,238.1,238.129,238.192,0.488
gcp:asia-south1-a,PREMIUM,n2-standard-4,gcp:europe-west2-a,PREMIUM,n2-standard-4,,,,
gcp:us-east4-a,PREMIUM,n2-standard-4,gcp:europe-west1-b,STANDARD,n2-standard-4,,,,
aws:eu-south-1,PREMIUM,m5.large,gcp:europe-west6-a,STANDARD,n2-standard-4,6.287,6.322,6.389,0.099
gcp:europe-west1-b,PREMIUM,n2-standard-4,gcp:us-central1-a,STANDARD,n2-standard-4,,,,
azure:switzerlandnorth,PREMIUM,Standard_D2_v3,gcp:europe-north1-a,STANDARD,n2-standard-4,36.201,36.415,36.695,0.228
azure:brazilsouth,PREMIUM,Standard_D2_v3,gcp:europe-west1-b,PREMIUM,n2-standard-4,190.337,190.481,190.594,0.59
aws:us-east-2,PREMIUM,m5.large,aws:af-south-1,PREMIUM,m5.large,225.208,225.219,225.25,0.6
aws:eu-west-2,PREMIUM,m5.large,gcp:us-central1-a,STANDARD,n2-standard-4,96.43,96.512,96.574,0.344
aws:us-east-1,PREMIUM,m5.large,gcp:europe-north1-a,PREMIUM,n2-standard-4,104.293,104.368,104.48,0.437
gcp:europe-west6-a,PREMIUM,n2-standard-4,gcp:europe-west3-a,STANDARD,n2-standard-4,,,,
azure:swedencentral,PREMIUM,Standard_D2_v3,gcp:asia-south1-a,PREMIUM,n2-standard-4,163.801,163.995,164.272,0.222
azure:southafricanorth,PREMIUM,Standard_D2_v3,aws:us-east-2,PREMIUM,m5.large,253.805,253.896,254.014,0.507
gcp:asia-northeast1-a,STANDARD,n2-standard-4,gcp:us-central1-a,STANDARD,n2-standard-4,,,,
azure:uaenorth,PREMIUM,Standard_D2_v3,gcp:asia-south1-a,STANDARD,n2-standard-4,31.205,31.351,31.448,0.233
azure:northcentralus,PREMIUM,Standard_D2_v3,aws:ca-central-1,PREMIUM,m5.large,20.976,21.104,21.588,0.192
aws:us-west-2,PREMIUM,m5.large,gcp:northamerica-northeast1-a,STANDARD,n2-standard-4,83.98,84.102,84.422,0.339
