src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,min_rtt,avg_rtt,max_rtt,mdev_rtt
gcp:asia-southeast1-a,PREMIUM,n2-standard-4,gcp:us-west4-a,STANDARD,n2-standard-4,,,,
gcp:asia-south2-a,PREMIUM,n2-standard-4,gcp:us-central1-a,STANDARD,n2-standard-4,,,,
aws:eu-west-1,PREMIUM,m5.large,gcp:asia-east2-a,PREMIUM,n2-standard-4,237.67,237.754,237.836,0.618
aws:us-west-2,PREMIUM,m5.large,gcp:australia-southeast1-a,STANDARD,n2-standard-4,174.69,174.772,174.882,0.531
aws:us-west-2,PREMIUM,m5.large,gcp:asia-northeast1-a,STANDARD,n2-standard-4,125.18,125.234,125.318,0.449
gcp:europe-west6-a,PREMIUM,n2-standard-4,gcp:us-east1-b,PREMIUM,n2-standard-4,,,,
gcp:europe-west1-b,STANDARD,n2-standard-4,gcp:europe-west3-a,STANDARD,n2-standard-4,,,,
gcp:us-west1-a,PREMIUM,n2-standard-4,gcp:europe-north1-a,STANDARD,n2-standard-4,,,,
aws:us-west-1,PREMIUM,m5.large,gcp:southamerica-east1-a,STANDARD,n2-standard-4,198.836,198.924,198.998,0.601
azure:swedencentral,PREMIUM,Standard_D2_v3,gcp:australia-southeast2-a,PREMIUM,n2-standard-4,286.159,286.427,287.947,0.75
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:asia-northeast1-a,PREMIUM,n2-standard-4,124.345,124.483,124.637,0.453
gcp:europe-north1-a,PREMIUM,n2-standard-4,gcp:asia-southeast1-a,STANDARD,n2-standard-4,,,,
gcp:northamerica-northeast1-a,PREMIUM,n2-standard-4,gcp:us-east1-b,STANDARD,n2-standard-4,,,,
gcp:europe-west1-b,STANDARD,n2-standard-4,gcp:us-east4-a,STANDARD,n2-standard-4,,,,
aws:eu-north-1,PREMIUM,m5.large,gcp:asia-southeast2-a,PREMIUM,n2-standard-4,239.639,239.727,239.81,0.621
gcp:australia-southeast1-a,STANDARD,n2-standard-4,gcp:europe-north1-a,STANDARD,n2-standard-4,,,,
azure:westus,PREMIUM,Standard_D2_v3,gcp:asia-east1-a,STANDARD,n2-standard-4,149.81,149.927,150.131,0.198
gcp:us-east1-b,PREMIUM,n2-standard-4,gcp:asia-south1-a,STANDARD,n2-standard-4,,,,
gcp:asia-east2-a,PREMIUM,n2-standard-4,gcp:australia-southeast1-a,PREMIUM,n2-standard-4,,,,
gcp:us-east4-a,PREMIUM,n2-standard-4,gcp:us-east1-b,STANDARD,n2-standard-4,,,,
aws:ap-northeast-2,PREMIUM,m5.large,gcp:asia-east2-a,STANDARD,n2-standard-4,102.494,102.605,102.897,0.366
azure:westus3,PREMIUM,Standard_D2_v3,aws:eu-west-2,PREMIUM,m5.large,132.052,132.308,132.476,0.347
gcp:us-central1-a,PREMIUM,n2-standard-4,gcp:europe-west2-a,STANDARD,n2-standard-4,,,,
aws:us-west-2,PREMIUM,m5.large,aws:ap-south-1,PREMIUM,m5.large,217.662,217.674,217.698,0.295
gcp:europe-north1-a,STANDARD,n2-standard-4,gcp:southamerica-east1-a,STANDARD,n2-standard-4,,,,
azure:japaneast,PREMIUM,Standard_D2_v3,gcp:us-east4-a,STANDARD,n2-standard-4,154.741,155.005,155.334,0.461
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:asia-southeast1-a,PREMIUM,n2-standard-4,56.769,56.883,56.954,0.052
azure:centralindia,PREMIUM,Standard_D2_v3,gcp:asia-east2-a,STANDARD,n2-standard-4,84.152,84.391,85.006,0.365
azure:westus,PREMIUM,Standard_D2_v3,gcp:europe-west2-a,PREMIUM,n2-standard-4,140.352,140.45,140.921,0.334
azure:eastus,PREMIUM,Standard_D2_v3,gcp:asia-northeast1-a,STANDARD,n2-standard-4,159.134,159.271,159.478,0.373
aws:me-south-1,PREMIUM,m5.large,gcp:asia-southeast1-a,STANDARD,n2-standard-4,214.18,214.355,214.492,0.231
gcp:asia-northeast2-a,PREMIUM,n2-standard-4,gcp:northamerica-northeast2-a,PREMIUM,n2-standard-4,,,,
azure:norwayeast,PREMIUM,Standard_D2_v3,aws:af-south-1,PREMIUM,m5.large,171.969,172.185,172.891,0.449
aws:me-south-1,PREMIUM,m5.large,gcp:us-west1-a,STANDARD,n2-standard-4,310.977,311.048,311.202,0.438
aws:af-south-1,PREMIUM,m5.large,gcp:northamerica-northeast2-a,PREMIUM,n2-standard-4,239.17,239.263,239.473,0.445
gcp:us-east1-b,PREMIUM,n2-standard-4,gcp:europe-west2-a,STANDARD,n2-standard-4,,,,
aws:ap-southeast-2,PREMIUM,m5.large,gcp:australia-southeast1-a,PREMIUM,n2-standard-4,2.247,2.349,2.483,0.071
gcp:asia-northeast1-a,PREMIUM,n2-standard-4,gcp:europe-west4-a,STANDARD,n2-standard-4,,,,
aws:us-west-2,PREMIUM,m5.large,aws:ap-east-1,PREMIUM,m5.large,144.749,144.78,144.819,0.38
aws:ap-southeast-2,PREMIUM,m5.large,gcp:europe-west1-b,PREMIUM,n2-standard-4,278.276,278.416,278.657,0.715
aws:eu-west-2,PREMIUM,m5.large,aws:me-south-1,PREMIUM,m5.large,83.164,83.187,83.202,0.341
azure:southafricanorth,PREMIUM,Standard_D2_v3,gcp:northamerica-northeast1-a,PREMIUM,n2-standard-4,254.397,254.592,254.832,0.571
aws:eu-north-1,PREMIUM,m5.large,gcp:us-west1-a,STANDARD,n2-standard-4,161.511,161.661,161.91,0.414
gcp:southamerica-east1-a,STANDARD,n2-standard-4,gcp:us-east1-b,STANDARD,n2-standard-4,,,,
azure:northcentralus,PREMIUM,Standard_D2_v3,gcp:asia-east1-a,STANDARD,n2-standard-4,188.44,188.572,188.788,0.35
gcp:australia-southeast1-a,PREMIUM,n2-standard-4,gcp:asia-southeast2-a,STANDARD,n2-standard-4,,,,
aws:ap-east-1,PREMIUM,m5.large,gcp:southamerica-west1-a,PREMIUM,n2-standard-4,254.656,254.706,254.787,0.322
gcp:asia-northeast2-a,PREMIUM,n2-standard-4,gcp:asia-northeast1-a,STANDARD,n2-standard-4,,,,
aws:ap-northeast-1,PREMIUM,m5.large,gcp:southamerica-east1-a,PREMIUM,n2-standard-4,263.363,263.435,263.528,0.461
aws:us-west-1,PREMIUM,m5.large,gcp:europe-west3-a,STANDARD,n2-standard-4,159.14,159.23,159.353,0.261
aws:ap-northeast-1,PREMIUM,m5.large,gcp:asia-southeast2-a,PREMIUM,n2-standard-4,84.433,84.528,84.673,0.151
azure:koreacentral,PREMIUM,Standard_D2_v3,aws:us-west-1,PREMIUM,m5.large,133.013,133.538,136.888,1.149
