src_region,src_tier,src_instance_class,dst_region,dst_tier,dst_instance_class,iperf3_connections,iperf3_runtime,tag,stdout_path,stderr_path,throughput_sent,throughput_recieved,cpu_utilization,success
gcp:northamerica-northeast1-a,,,gcp:europe-west4-a,,,64,5,gcp:northamerica-northeast1-a:None_gcp:europe-west4-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:northamerica-northeast1-a:None_gcp:europe-west4-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:northamerica-northeast1-a:None_gcp:europe-west4-a:None.stderr,19661670000.0,18704420000.0,46.836527,True
gcp:asia-south2-a,,,gcp:asia-east1-a,,,64,5,gcp:asia-south2-a:None_gcp:asia-east1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-south2-a:None_gcp:asia-east1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-south2-a:None_gcp:asia-east1-a:None.stderr,10065380000.0,9858584000.0,39.759609,True
gcp:northamerica-northeast2-a,,,gcp:southamerica-east1-a,,,64,5,gcp:northamerica-northeast2-a:None_gcp:southamerica-east1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:northamerica-northeast2-a:None_gcp:southamerica-east1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:northamerica-northeast2-a:None_gcp:southamerica-east1-a:None.stderr,17346200000.0,16596110000.0,35.68972,True
gcp:australia-southeast1-a,,,gcp:asia-northeast2-a,,,64,5,gcp:australia-southeast1-a:None_gcp:asia-northeast2-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:australia-southeast1-a:None_gcp:asia-northeast2-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:australia-southeast1-a:None_gcp:asia-northeast2-a:None.stderr,17218690000.0,15600730000.0,36.911068,True
gcp:australia-southeast2-a,,,gcp:us-central1-a,,,64,5,gcp:australia-southeast2-a:None_gcp:us-central1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:australia-southeast2-a:None_gcp:us-central1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:australia-southeast2-a:None_gcp:us-central1-a:None.stderr,8608918000.0,8216923000.0,29.072807,True
gcp:europe-west2-a,,,gcp:asia-northeast1-a,,,64,5,gcp:europe-west2-a:None_gcp:asia-northeast1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west2-a:None_gcp:asia-northeast1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west2-a:None_gcp:asia-northeast1-a:None.stderr,10031630000.0,9452949000.0,25.571359,True
gcp:europe-west3-a,,,gcp:asia-southeast2-a,,,64,5,gcp:europe-west3-a:None_gcp:asia-southeast2-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west3-a:None_gcp:asia-southeast2-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west3-a:None_gcp:asia-southeast2-a:None.stderr,7192681000.0,6429728000.0,26.480323,True
gcp:asia-northeast3-a,,,gcp:southamerica-west1-a,,,64,5,gcp:asia-northeast3-a:None_gcp:southamerica-west1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-northeast3-a:None_gcp:southamerica-west1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-northeast3-a:None_gcp:southamerica-west1-a:None.stderr,10503510000.0,9534996000.0,24.381467,True
gcp:asia-south1-a,,,gcp:us-west1-a,,,64,5,gcp:asia-south1-a:None_gcp:us-west1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-south1-a:None_gcp:us-west1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-south1-a:None_gcp:us-west1-a:None.stderr,12597030000.0,10231930000.0,25.116178,True
gcp:asia-east2-a,,,gcp:asia-east1-a,,,64,5,gcp:asia-east2-a:None_gcp:asia-east1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-east2-a:None_gcp:asia-east1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:asia-east2-a:None_gcp:asia-east1-a:None.stderr,17148230000.0,16743580000.0,85.718765,True
gcp:us-central1-a,,,gcp:us-east1-b,,,64,5,gcp:us-central1-a:None_gcp:us-east1-b:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:us-central1-a:None_gcp:us-east1-b:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:us-central1-a:None_gcp:us-east1-b:None.stderr,16790690000.0,16746030000.0,70.411507,True
gcp:us-west4-a,,,gcp:us-west1-a,,,64,5,gcp:us-west4-a:None_gcp:us-west1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:us-west4-a:None_gcp:us-west1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:us-west4-a:None_gcp:us-west1-a:None.stderr,15908890000.0,15750860000.0,70.985469,True
gcp:europe-west2-a,,,gcp:europe-north1-a,,,64,5,gcp:europe-west2-a:None_gcp:europe-north1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west2-a:None_gcp:europe-north1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west2-a:None_gcp:europe-north1-a:None.stderr,13629270000.0,13217640000.0,65.421943,True
gcp:europe-west4-a,,,gcp:us-east4-a,,,64,5,gcp:europe-west4-a:None_gcp:us-east4-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west4-a:None_gcp:us-east4-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:europe-west4-a:None_gcp:us-east4-a:None.stderr,19288410000.0,19167600000.0,47.127398,True
gcp:southamerica-west1-a,,,gcp:southamerica-east1-a,,,64,5,gcp:southamerica-west1-a:None_gcp:southamerica-east1-a:None,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:southamerica-west1-a:None_gcp:southamerica-east1-a:None.stdout,/home/ubuntu/skylark/data/logs/throughput_grid/2022.04.20_09.49_cross-plumbers-two-facedly-prepaid_5s_64c/raw_iperf3_logs/gcp:southamerica-west1-a:None_gcp:southamerica-east1-a:None.stderr,15593090000.0,15225250000.0,59.006624,True
